created_p1,ip_address,time_sec_p1,mc_car_make_1,zip_code,created_p2,time_sec_p2,current_car_purchase,current_car_status,current_car_price,monthlypayment,gas_mileage,weeklyTravel,fuel_type,parking,neighbor_info,household_vehicle,ride_friend__carpool,walk_bicycle_scooter,taxi__uber,public_transit,buying_timing,future_vehicle_type,future_car_condition,future_car_finance,future_car_price,future_downpayment,future_car_category,respondentID,created_p3,time_sec_p3,created_p4,time_sec_p4,run_on_gas,plugged_in,electric_vehicle_Y_N,name_electric_vehicle,max_subsidy,created_p5,time_sec_p5,feedback,yearOfBirth,gender,hispanic,ethnicity,people,employment_status,income,education,housing,own_rent,electric_bill,political_views,party,age,total_time_min
2024-07-05T03:03:01Z,172.59.97.130,47,toyota,53021,2024-07-04T22:03:48Z,131,New,No,"$40,000 - $44,999",Do not remember or do not know,20 - 30 mpg,once in 2 weeks,Gasoline,Single-family garage,No,4-5 times a week,Less than once a month or never,2-3 times a week,Less than once a month or never,Less than once a month or never,6-9 years into the future,Large Sedan,Used,Purchase,"$20,000 - $24,999","$4,000 - $5,000",Maybe/ Not sure,1771,2024-07-04T22:06:34Z,151,2024-07-04T22:05:59Z,35,1,"2, 3",No,NA,6,2024-07-04T22:09:05Z,79,NA,1966,Male,No,"American Indian or Alaskan Native, White",4,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Ph.D. or M.D,Single family house not attached to any other house,1,$0 - $100,5,democratic,58,7.383333333333334
2024-07-05T04:37:56Z,47.155.85.24,49,toyota,92683,2024-07-04T23:38:45Z,119,New,No,"$50,000 - $59,999",$900 - $1000,20 - 30 mpg,once in 2 weeks,"Gasoline, Hybrid",Driveway/ Carport,I'm not sure,2-3 times a week,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,6-9 years into the future,"Small Sedan, Large Sedan, Large SUV",New,Purchase,"$50,000 - $59,999","$10,000 - $11,000",Maybe/ Not sure,3885,2024-07-04T23:41:18Z,196,2024-07-04T23:40:44Z,34,"1, 2","2, 3",Yes,Rivian,6,2024-07-04T23:44:34Z,164,Try to identify limiting factors on buying decisions i.e. What is the rnge of an electric vehicle? How long does it take to charge? Does the car have a specialty use in mind when purchased.,1960,Male,No,White,2,"Not employed, looking for work.","$250,000 or more",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$0 - $100,3,independent,64,9.366666666666667
2024-07-05T04:46:41Z,129.222.3.119,46,ford,27960,2024-07-04T23:47:28Z,212,Used car from a dealer,No,"$25,000 - $29,999",Paid all cash/ No loan,20 - 30 mpg,once a month,Gasoline,Other:,No,2-3 times a week,Less than once a month or never,About once a week,Less than once a month or never,Less than once a month or never,3-5 years into the future,Pick-up truck,Used,Purchase,I'm not sure,I'm not sure,Probably not,4534,2024-07-04T23:52:17Z,343,2024-07-04T23:51:00Z,77,"1, 2","2, 3",Yes,"Tesla, Rivian,",6,2024-07-04T23:58:00Z,124,NA,1961,Male,No,Some other race:,1,"Employed, working 40 or more hours per week.","$150,000 to less than $175,000",Some college - but less than two years of college,Single family house not attached to any other house,1,$100 - $200,6,independent,63,13.366666666666667
2024-07-05T06:03:16Z,35.145.186.141,97,hyundai,33625,2024-07-05T01:04:54Z,257,New,No,"$20,000 - $24,999",$300 - $400,30 - 40 mpg,once a week,Gasoline,"Driveway/ Carport, Single-family garage",No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,6-9 years into the future,"Small Sedan, Sports Car, Large SUV, Pick-up truck",New,Purchase,"$90,000 - $99,999","$9,000 - $10,000",Definitely not,3683,2024-07-05T01:10:15Z,165,2024-07-05T01:09:11Z,64,"1, 2","2, 3",Yes,tesla,6,2024-07-05T01:13:00Z,93,NA,1964,Male,No,White,3,Retired.,"$150,000 to less than $175,000",High school degree or equivalent (e.g. GED),Single family house not attached to any other house,1,$300 - $400,3,republican,60,11.266666666666667
2024-07-05T07:17:05Z,68.102.26.121,124,nissan,66502,2024-07-05T02:19:10Z,182,New,No,"$20,000 - $24,999",$300 - $400,20 - 30 mpg,once in 2 weeks,Gasoline,Driveway/ Carport,No,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Pick-up truck,Used,Purchase,"$20,000 - $24,999","$0 - $1,000",Definitely not,2804,2024-07-05T02:23:14Z,196,2024-07-05T02:22:13Z,61,1,3,Yes,Telsa,6,2024-07-05T02:26:31Z,113,NA,1964,Male,No,White,2,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Technical or trade school,Single family house not attached to any other house,1,$200 - $300,2,republican,60,11.266666666666667
2024-07-05T08:08:05Z,172.59.89.81,114,jeep,38641,2024-07-05T03:09:59Z,178,Used car from a dealer,No,"$30,000 - $34,999",Paid all cash/ No loan,10 - 20 mpg,twice a week,Gasoline,"Driveway/ Carport, Single-family garage",No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,"Small Sedan, Large Sedan, Sports Car, Compact SUV, Large SUV, Van, Pick-up truck, Do not know",Both,Purchase,"$10,000 - $14,999, $15,000 - $19,999, $20,000 - $24,999, $25,000 - $29,999, $30,000 - $34,999, $35,000 - $39,999","$20,000 or more",Probably Yes,1966,2024-07-05T03:14:16Z,179,2024-07-05T03:12:57Z,79,"1, 2","2, 3",Yes,Rivian R1S,4,2024-07-05T03:17:16Z,260,While a BEV would support my normal driving habits very well it is too expensive to buy one just for commuting.,1985,Male,No,White,2,"Employed, working 40 or more hours per week.","$200,000 to less than $250,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$100 - $200,7,independent,39,13.5
2024-07-05T09:37:05Z,72.176.58.255,93,toyota,76504,2024-07-05T04:38:39Z,191,Used car from a dealer,No,"$10,000 - $14,999",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,Driveway/ Carport,No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,"Large Sedan, Pick-up truck",Used,Purchase,"$10,000 - $14,999",I'm not sure,Definitely not,1667,2024-07-05T04:43:07Z,201,2024-07-05T04:41:50Z,76,"1, 2","2, 3",Yes,Tesla,6,2024-07-05T04:46:29Z,108,NA,1962,Male,No,White,2,"Employed, working 40 or more hours per week.","$50,000 to less than $60,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$100 - $200,1,republican,62,11.15
2024-07-05T10:59:49Z,50.25.138.113,105,nissan,27858,2024-07-05T06:01:35Z,164,Received as a gift,No,"$4,999 or less",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,Shared parking lot,No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,I'm not sure,"Small Sedan, Pick-up truck",Used,Purchase,"$4,999 or less",I'm not sure,Probably not,1155,2024-07-05T06:05:12Z,405,2024-07-05T06:04:19Z,53,"1, 2","2, 3",Yes,Rivian,4,2024-07-05T06:11:57Z,87,NA,1967,Male,No,White,2,"Employed, working 1-39 hours per week.","$15,000 to less than $30,000",Some college - but less than two years of college,Building with 5-19 apartments/condos/studios,2,$0 - $100,4,democratic,57,13.566666666666666
2024-07-05T16:26:03Z,8.3.127.69,72,hyundai,96950,2024-07-05T11:27:15Z,175,New,No,"$40,000 - $44,999",$400 - $500,20 - 30 mpg,once in 2 weeks,Gasoline,Single-family garage,No,4-5 times a week,About once a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,"Small Sedan, Large Sedan, Sports Car",Both,Purchase,"$30,000 - $34,999","$5,000 - $6,000",Definitely not,472,2024-07-05T11:31:17Z,179,2024-07-05T11:30:10Z,67,"1, 2","2, 3",Yes,Nissan Ariya,6,2024-07-05T11:34:17Z,136,NA,1975,Male,No,Asian,3,"Employed, working 40 or more hours per week.","$50,000 to less than $60,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,2,$100 - $200,2,republican,49,10.483333333333333
2024-07-05T20:53:02Z,73.251.129.115,59,jeep,23224,2024-07-05T15:54:02Z,177,Used car from a dealer,No,"$40,000 - $44,999",Paid all cash/ No loan,10 - 20 mpg,once in 2 weeks,Gasoline,Shared parking garage,I'm not sure,4-5 times a week,Less than once a month or never,About once a month,Less than once a month or never,About once a month,6-9 years into the future,Large SUV,Both,Purchase,"$50,000 - $59,999","$20,000 or more",Definitely not,4719,2024-07-05T15:57:38Z,249.00000000000003,2024-07-05T15:56:59Z,39,"1, 2","1, 2, 3",Yes,Tesla,6,2024-07-05T16:01:47Z,81,NA,1988,Male,No,Do not know/prefer not to answer,1,"Not employed, looking for work.","$30,000 to less than $40,000",M.B.A. or law degree,Building with 20 or more apartments/condos/studios,2,$0 - $100,2,republican,36,10.083333333333334
2024-07-06T05:15:13Z,67.61.246.71,28,honda,63501,2024-07-06T00:15:42Z,71,New,No,"$25,000 - $29,999",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,"Driveway/ Carport, Single-family garage",Yes,4-5 times a week,About once a month,Once a day or more,Less than once a month or never,About once a month,3-5 years into the future,"Small Sedan, Large SUV",Used,Purchase,"$15,000 - $19,999","$4,000 - $5,000",Definitely Yes,3721,2024-07-06T00:17:13Z,97,2024-07-06T00:16:53Z,20,"1, 2",2,Yes,Tesla,2,2024-07-06T00:18:50Z,60,NA,1972,Male,No,White,5,"Employed, working 40 or more hours per week.","$200,000 to less than $250,000",Ph.D. or M.D,Single family house not attached to any other house,1,$100 - $200,4,democratic,52,4.6
2024-07-06T06:48:00Z,66.148.59.123,67,mercury,72921,2024-07-06T01:49:08Z,144,Used car informally,No,"$4,999 or less",Paid all cash/ No loan,10 - 20 mpg,once a week,Gasoline,Street Parking,No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Within 1 year,Pick-up truck,Both,Purchase,"$40,000 - $44,999",I'm not sure,Definitely not,2220,2024-07-06T01:52:07Z,143,2024-07-06T01:51:32Z,35,"1, 2","2, 3",Yes,Tesla,6,2024-07-06T01:54:30Z,143,NA,1963,Male,No,"American Indian or Alaskan Native, White",2,"Not employed, looking for work.",Prefer not to answer,College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$300 - $400,7,independent,61,8.866666666666667
2024-07-06T07:34:07Z,166.199.149.18,71,chevrolet,28086,2024-07-06T02:35:18Z,321,New,No,"$45,000 - $49,999",Paid all cash/ No loan,10 - 20 mpg,once a week,Gasoline,Driveway/ Carport,No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Within 1 year,Pick-up truck,New,Purchase,"$40,000 - $44,999","$1,000 - $2,000",Definitely not,627,2024-07-06T02:41:27Z,190,2024-07-06T02:40:39Z,47,1,"2, 3",Yes,Tesla,6,2024-07-06T02:44:37Z,198,NA,1959,Male,No,White,3,Retired.,"$75,000 to less than $100,000",Technical or trade school,Single family house not attached to any other house,1,$200 - $300,6,prefer_not_say,65,13.783333333333333
2024-07-06T08:06:32Z,104.183.250.75,73,subaru,76087,2024-07-06T03:07:45Z,416,New,No,"$35,000 - $39,999",Paid all cash/ No loan,20 - 30 mpg,twice a week,Gasoline,Single-family garage,I'm not sure,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,6-9 years into the future,"Compact SUV, Large SUV, Pick-up truck",New,Purchase,"$35,000 - $39,999","$20,000 or more",Definitely Yes,4870,2024-07-06T03:15:41Z,196,2024-07-06T03:14:41Z,60,"1, 2","2, 3",Yes,Tesla,4,2024-07-06T03:18:57Z,78,NA,1967,Female,No,White,2,Retired.,"$100,000 to less than $125,000",Postgraduate courses,Single family house not attached to any other house,1,$100 - $200,3,independent,57,13.716666666666667
2024-07-06T08:52:08Z,98.17.172.157,66,kia,30453,2024-07-06T03:53:14Z,114,New,No,"$15,000 - $19,999",Paid all cash/ No loan,30 - 40 mpg,once in 2 weeks,Gasoline,Single-family garage,No,About once a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Within 1 year,Small Sedan,New,Lease,"$35,000 - $39,999","$5,000 - $6,000",Definitely Yes,4297,2024-07-06T03:55:48Z,112,2024-07-06T03:55:08Z,40,1,"1, 2, 3",Yes,Tesla model 3,4,2024-07-06T03:57:41Z,69,NA,1963,Female,No,Black or African American,1,Retired.,"$15,000 to less than $30,000",Some college - two years or more/A.A. degree,Single family house not attached to any other house,1,$0 - $100,5,democratic,61,6.683333333333334
2024-07-06T12:45:37Z,98.97.18.205,67,toyota,06605,2024-07-06T07:46:45Z,157,Used car from a dealer,No,"$15,000 - $19,999",$200 - $300,20 - 30 mpg,once a week,Gasoline,Shared parking garage,Yes,Once a day or more,Less than once a month or never,About once a month,About once a month,Less than once a month or never,3-5 years into the future,"Large Sedan, Large SUV",Both,Purchase,"$30,000 - $34,999","$1,000 - $2,000",Probably not,2920,2024-07-06T07:50:24Z,243,2024-07-06T07:49:22Z,62,"1, 2","2, 3",Yes,Hyundai Ioniq 5,4,2024-07-06T07:54:27Z,116,NA,1991,Male,No,White,2,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Ph.D. or M.D,Building with 20 or more apartments/condos/studios,2,$100 - $200,3,independent,33,10.75
2024-07-06T16:20:27Z,166.199.140.42,64,ford,24531,2024-07-06T11:21:32Z,163,New,No,"$25,000 - $29,999",$100 - $200,40 - 50 mpg,once in 2 weeks,"Gasoline, Hybrid","Driveway/ Carport, Single-family garage, Shared parking lot",No,Once a day or more,About once a week,Once a day or more,Less than once a month or never,Less than once a month or never,1-2 years into the future,"Large SUV, Pick-up truck",New,Purchase,"$40,000 - $44,999, $45,000 - $49,999, $50,000 - $59,999, $60,000 - $69,999, $70,000 - $79,999","$20,000 or more",Probably not,3514,2024-07-06T11:24:49Z,121,2024-07-06T11:24:16Z,33,"1, 2","2, 3",Yes,Tesla,6,2024-07-06T11:26:50Z,77,NA,1989,Male,No,White,3,"Employed, working 40 or more hours per week.","$100,000 to less than $125,000",Master's degree,Single family house not attached to any other house,3,$0 - $100,3,independent,35,7.633333333333334
2024-07-06T20:01:33Z,174.192.196.76,58,honda,21160,2024-07-06T15:02:31Z,134,New,No,"$50,000 - $59,999",$700 - $800,20 - 30 mpg,once a week,Gasoline,Single-family garage,No,Once a day or more,Less than once a month or never,4-5 times a week,Less than once a month or never,Less than once a month or never,1-2 years into the future,Pick-up truck,New,Purchase,"$70,000 - $79,999","$4,000 - $5,000",Definitely not,1302,2024-07-06T15:05:19Z,142,2024-07-06T15:04:45Z,34,1,"2, 3",No,NA,6,2024-07-06T15:07:41Z,86,NA,1969,Male,No,White,2,"Employed, working 40 or more hours per week.","$200,000 to less than $250,000",Postgraduate courses,Single family house not attached to any other house,1,$200 - $300,2,republican,55,7.566666666666666
2024-07-06T21:31:26Z,172.58.0.190,44,chevrolet,30071,2024-07-06T16:32:11Z,146,Used car informally,No,"$5,000 - $9999",Paid all cash/ No loan,10 - 20 mpg,once in 2 weeks,Gasoline,Single-family garage,I'm not sure,4-5 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,Do not know,I'm not sure,Purchase,"$15,000 - $19,999",$15000 - $16000,Definitely not,3412,2024-07-06T16:35:10Z,156,2024-07-06T16:34:37Z,33,4,4,No,NA,6,2024-07-06T16:37:46Z,296,NA,1964,Male,No,White,2,"Employed, working 40 or more hours per week.","$100,000 to less than $125,000",Some college - two years or more/A.A. degree,"Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)",1,$100 - $200,2,prefer_not_say,60,11.25
2024-07-07T01:37:17Z,65.122.87.90,143,ford,48197,2024-07-06T20:39:41Z,362,New,Yes,"$35,000 - $39,999",$400 - $500,40 - 50 mpg,once in 2 weeks,"Gasoline, Hybrid, Plug-in Hybrid","Driveway/ Carport, Single-family garage",Yes,Once a day or more,About once a month,About once a week,Less than once a month or never,Less than once a month or never,10+ years into the future,"Small Sedan, Sports Car",Both,I'm not sure,"$5,000 - $9999, $10,000 - $14,999, $15,000 - $19,999, $20,000 - $24,999, $25,000 - $29,999",I'm not sure,Maybe/ Not sure,1889,2024-07-06T20:46:40Z,414,2024-07-06T20:45:43Z,57,"1, 2","2, 3",Yes,Ev,4,2024-07-06T20:53:34Z,692,NA,1974,Male,No,White,3,"Employed, working 40 or more hours per week.","$250,000 or more",Master's degree,Single family house not attached to any other house,1,$200 - $300,5,prefer_not_say,50,27.8
2024-07-07T02:50:33Z,172.59.76.179,66,chevrolet,72416,2024-07-06T21:51:39Z,183,Used car informally,No,"$30,000 - $34,999",Paid all cash/ No loan,10 - 20 mpg,once a week,"Gasoline, Other:",Driveway/ Carport,No,About once a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,10+ years into the future,Do not know,Used,I'm not sure,"$5,000 - $9999","$0 - $1,000",Definitely not,4178,2024-07-06T21:55:40Z,175,2024-07-06T21:54:43Z,57,1,"2, 3",Yes,Tesla,6,2024-07-06T21:58:35Z,142,NA,1960,Male,No,White,1,Retired.,"$40,000 to less than $50,000",Some college - but less than two years of college,"Boat, RV, van, etc.",1,$100 - $200,2,independent,64,10.383333333333333
2024-07-07T12:49:03Z,166.196.110.2,64,chevrolet,55720,2024-07-07T07:50:08Z,144,Used car informally,No,"$4,999 or less",Paid all cash/ No loan,10 - 20 mpg,once a week,Gasoline,"Street Parking, Driveway/ Carport",No,2-3 times a week,Less than once a month or never,4-5 times a week,Less than once a month or never,Less than once a month or never,I'm not sure,"Sports Car, Van, Pick-up truck",Used,Purchase,"$4,999 or less","$0 - $1,000",Definitely not,4988,2024-07-07T07:53:09Z,121,2024-07-07T07:52:32Z,35,"1, 2","2, 3",Yes,Tesla,6,2024-07-07T07:55:10Z,78,NA,1975,Male,No,White,4,"Employed, working 40 or more hours per week.",Prefer not to answer,Some college - but less than two years of college,Single family house not attached to any other house,2,$0 - $100,2,independent,49,7.366666666666666
2024-07-09T11:39:30Z,68.11.30.124,99,honda,70043,2024-07-09T06:41:13Z,124.00000000000001,New,No,"$15,000 - $19,999",Paid all cash/ No loan,30 - 40 mpg,once a week,Gasoline,Driveway/ Carport,No,4-5 times a week,About once a week,About once a month,Less than once a month or never,Less than once a month or never,3-5 years into the future,"Small Sedan, Compact SUV, Pick-up truck",Both,Purchase,"$15,000 - $19,999, $20,000 - $24,999","$20,000 or more",Probably not,3887,2024-07-09T06:46:19Z,229,2024-07-09T06:43:17Z,182,"1, 2","2, 3",Yes,Nissan Leaf,6,2024-07-09T06:50:09Z,530,"Crash test safety ratings are more important to me than make/model for any car.

I think electric/hybrid cars are unpopular in my region for 3 big reasons: liberal association, patchy charging infrastructure, and concerns about hurricanes (prolonged power outages, trying to evacuate, etc).",1988,Female,No,White,1,"Employed, working 40 or more hours per week.","$30,000 to less than $40,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,2,$0 - $100,4,democratic,36,19.4
2024-07-10T08:44:35Z,172.58.231.203,74,dodge,10453,2024-07-10T03:45:50Z,155,New,No,"$50,000 - $59,999",Paid all cash/ No loan,10 - 20 mpg,once a week,Gasoline,Driveway/ Carport,No,4-5 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,About once a month,10+ years into the future,Large SUV,New,Purchase,"$50,000 - $59,999","$10,000 - $11,000",Definitely not,4461,2024-07-10T03:49:19Z,149,2024-07-10T03:48:26Z,53,"1, 2","2, 3",Yes,Tesla lucid,6,2024-07-10T03:51:49Z,115,NA,1981,Male,Yes,Black or African American,4,"Employed, working 40 or more hours per week.","$175,000 to less than $200,000",Some college - two years or more/A.A. degree,"Single family house attached to one or more houses (townhouse, rowhome, condo, duplex, triplex, etc.)",2,$100 - $200,2,prefer_not_say,43,9.1
2024-07-10T09:11:23Z,174.214.51.138,54,jeep,26181,2024-07-10T04:12:18Z,186,New,Yes,"$50,000 - $59,999",$500 - $600,20 - 30 mpg,once a week,"Gasoline, Plug-in Hybrid",Driveway/ Carport,No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,Within 1 year,Large SUV,New,Lease,"$60,000 - $69,999","$9,000 - $10,000",Definitely Yes,973,2024-07-10T04:16:22Z,166,2024-07-10T04:15:24Z,58,"1, 2","2, 3",Yes,Keep wagoneer s,4,2024-07-10T04:19:08Z,99,NA,1966,Male,No,White,2,"Employed, working 40 or more hours per week.","$200,000 to less than $250,000",Technical or trade school,Single family house not attached to any other house,1,$100 - $200,3,democratic,58,9.383333333333333
2024-07-10T09:17:05Z,67.234.22.213,117,honda,24236,2024-07-10T04:19:02Z,272,New,No,"$25,000 - $29,999",Paid all cash/ No loan,20 - 30 mpg,once a month,Gasoline,Driveway/ Carport,No,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,3-5 years into the future,Small Sedan,New,Purchase,"$45,000 - $49,999","$0 - $1,000",Probably not,4997,2024-07-10T04:25:08Z,231,2024-07-10T04:23:34Z,94,"1, 2","1, 2",Yes,Tesla,6,2024-07-10T04:28:59Z,147,NA,1932,Male,No,White,1,Retired.,"$60,000 to less than $75,000",Master's degree,Single family house not attached to any other house,1,$100 - $200,3,independent,92,14.35
2024-07-11T01:30:45Z,170.249.137.134,334,honda,36527,2024-07-10T20:36:20Z,118,Used car from a dealer,No,"$15,000 - $19,999",$200 - $300,30 - 40 mpg,once a week,Gasoline,Driveway/ Carport,No,Less than once a month or never,Less than once a month or never,Less than once a month or never,About once a month,Less than once a month or never,Within 1 year,Compact SUV,Both,Purchase,"$25,000 - $29,999","$5,000 - $6,000",Probably not,4919,2024-07-10T20:39:00Z,116,2024-07-10T20:38:19Z,41,2,"2, 3",Yes,Tesla,6,2024-07-10T20:40:56Z,75,NA,1988,Female,No,White,4,"Employed, working 40 or more hours per week.","$100,000 to less than $125,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,1,$100 - $200,3,republican,36,11.4
2024-07-11T04:15:22Z,174.238.54.128,37,toyota,46044,2024-07-10T23:16:00Z,110,Used car informally,No,"$4,999 or less",Paid all cash/ No loan,50 - 60 mpg,once a week,Hybrid,Driveway/ Carport,No,Once a day or more,Less than once a month or never,About once a month,Less than once a month or never,Less than once a month or never,10+ years into the future,Small Sedan,Used,Purchase,"$4,999 or less, $5,000 - $9999","$0 - $1,000",Maybe/ Not sure,1098,2024-07-10T23:18:41Z,183,2024-07-10T23:17:50Z,51,"1, 2","2, 3",Yes,Ford Maverick,6,2024-07-10T23:21:44Z,87,Domestic vehicles suck,1983,Male,No,White,3,"Employed, working 40 or more hours per week.","$50,000 to less than $60,000",Some college - but less than two years of college,Single family house not attached to any other house,2,$100 - $200,7,democratic,41,7.8
2024-07-11T05:30:03Z,172.58.0.242,53,lincoln,30342,2024-07-11T00:30:55Z,200,Used car from a dealer,No,"$10,000 - $14,999",$200 - $300,10 - 20 mpg,once a week,Gasoline,Shared parking lot,Yes,Once a day or more,About once a week,About once a month,Less than once a month or never,Less than once a month or never,3-5 years into the future,"Sports Car, Compact SUV, Large SUV, Pick-up truck",Used,Purchase,"$4,999 or less, $5,000 - $9999, $10,000 - $14,999, $15,000 - $19,999","$1,000 - $2,000",Definitely Yes,2365,2024-07-11T00:34:50Z,479,2024-07-11T00:34:14Z,37,"1, 2","2, 3",Yes,Mustang Mach-E,6,2024-07-11T00:42:48Z,191,Current housing of MFH condo will NOT make a pure EV feasible. 40+ year old property that there is no realistic way to setup chargers at home location.,1981,Male,Yes,White,4,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",College graduate/bachelor's degree/B.A./B.S.,Building with 5-19 apartments/condos/studios,1,$100 - $200,2,republican,43,16
2024-07-11T13:47:36Z,50.115.251.199,80,honda,72450,2024-07-11T08:48:56Z,150,Used car informally,No,"$4,999 or less",Paid all cash/ No loan,20 - 30 mpg,once in 2 weeks,Gasoline,"Driveway/ Carport, Prefer not to say",No,4-5 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,3-5 years into the future,Van,Used,Purchase,"$4,999 or less","$0 - $1,000",Maybe/ Not sure,871,2024-07-11T08:52:17Z,218,2024-07-11T08:51:26Z,51,1,"2, 3",Yes,Tesla,5,2024-07-11T08:55:56Z,94,NA,1960,Male,No,White,2,Retired.,"$15,000 to less than $30,000",College graduate/bachelor's degree/B.A./B.S.,Single family house not attached to any other house,2,$100 - $200,5,democratic,64,9.883333333333333
2024-07-11T18:31:41Z,50.4.196.98,62,gmc,48043,2024-07-11T13:32:44Z,183,Used car from a dealer,No,"$25,000 - $29,999",$200 - $300,not applicable,once a week,Gasoline,"Driveway/ Carport, Single-family garage",No,Once a day or more,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,1-2 years into the future,Compact SUV,Used,Purchase,"$30,000 - $34,999","$20,000 or more",Definitely not,4841,2024-07-11T13:37:02Z,152,2024-07-11T13:35:47Z,75,"1, 2","2, 3",Yes,Hummer,6,2024-07-11T13:39:34Z,92,NA,1967,Female,No,White,2,"Employed, working 40 or more hours per week.","$200,000 to less than $250,000",High school degree or equivalent (e.g. GED),Single family house not attached to any other house,1,$0 - $100,2,republican,57,9.4
2024-07-12T00:28:04Z,70.165.50.90,55,toyota,90631,2024-07-11T19:29:00Z,176,Used car from a dealer,No,"$20,000 - $24,999",Paid all cash/ No loan,60 mpg and above,once in 2 weeks,Gasoline,Driveway/ Carport,I'm not sure,2-3 times a week,Less than once a month or never,Less than once a month or never,Less than once a month or never,Less than once a month or never,3-5 years into the future,"Large Sedan, Large SUV",Used,Purchase,"$25,000 - $29,999","$20,000 or more",Maybe/ Not sure,3684,2024-07-11T19:33:20Z,213,2024-07-11T19:31:56Z,83,"1, 2","2, 3",Yes,Tesla,6,2024-07-11T19:36:54Z,84,NA,1974,Male,No,Asian,4,"Employed, working 40 or more hours per week.","$125,000 to less than $150,000",Master's degree,Single family house not attached to any other house,1,$100 - $200,2,independent,50,10.183333333333334
2024-07-12T01:45:38Z,184.83.92.163,41,mazda,57110,2024-07-11T20:46:19Z,91,Used car from a dealer,No,"$5,000 - $9999",Paid all cash/ No loan,20 - 30 mpg,three times a week,Gasoline,"Street Parking, Driveway/ Carport, Single-family garage",No,Once a day or more,About once a month,About once a week,Less than once a month or never,Less than once a month or never,3-5 years into the future,"Small Sedan, Large Sedan, Sports Car",Used,Purchase,"$10,000 - $14,999","$10,000 - $11,000",Definitely Yes,4917,2024-07-11T20:48:08Z,175,2024-07-11T20:47:50Z,18,"1, 2","2, 3",Yes,Tesla,4,2024-07-11T20:51:03Z,224,"You should change the “Name an electric car?” question. My computer keeps wanting to change MY name to Tesla in my settings when I answer that question for you. Now I have to change my settings, not pleasant.",1973,Male,No,American Indian or Alaskan Native,2,"Employed, working 40 or more hours per week.","$50,000 to less than $60,000",Some college - but less than two years of college,Single family house not attached to any other house,2,$0 - $100,7,independent,51,9.15
2024-07-12T03:46:03Z,104.189.142.214,126,ford,32583,2024-07-11T22:48:09Z,195,Used car informally,No,"$4,999 or less",Paid all cash/ No loan,10 - 20 mpg,once a month,Gasoline,"Driveway/ Carport, Single-family garage",I'm not sure,2-3 times a week,Less than once a month or never,About once a month,Less than once a month or never,Less than once a month or never,6-9 years into the future,Compact SUV,Used,Purchase,"$15,000 - $19,999","$4,000 - $5,000",Probably not,2993,2024-07-11T22:52:19Z,152,2024-07-11T22:51:24Z,55,"1, 2","2, 3",Yes,Tesla,6,2024-07-11T22:54:51Z,140,NA,1964,Male,No,White,1,"Employed, working 40 or more hours per week.","$75,000 to less than $100,000",Some college - but less than two years of college,Single family house not attached to any other house,1,$100 - $200,2,independent,60,11.133333333333333
